"ProteinID","diff","pval","sig","comparison","group"
"P04433",-0.290229707120978,0.017641647588168,"T","day3-day7","Symp"
"E9PAQ1",0.914571294717129,0.0387840971185467,"T","day3-day7","Symp"
"P35908",0.59115573099132,0.0483651498755202,"T","day3-day7","Symp"
"A0A075B6K4",-1.71699001117042,0.0239727998934529,"T","day3-day7","Symp"
"P38935",1.2236686021942,0.0491609719668035,"T","day3-day7","Symp"
"P02671",-0.809498429820964,0.0435463110141998,"T","Asymptomatic-Symptomatic","day0"
"P00738",-1.56733904138463,0.0197124042344663,"T","Asymptomatic-Symptomatic","day0"
"B4E1Z4",-0.556478350121564,0.0211006853571655,"T","Asymptomatic-Symptomatic","day0"
"P02679",-0.822746420561551,0.0205599517697761,"T","Asymptomatic-Symptomatic","day0"
"P00747",-0.687300372371256,0.00131755946972138,"T","Asymptomatic-Symptomatic","day0"
"B7ZKJ8",-0.450303417107152,0.0404869796540667,"T","Asymptomatic-Symptomatic","day0"
"P01011",-0.82715888314135,0.014832922709538,"T","Asymptomatic-Symptomatic","day0"
"P05155",-0.569536892731743,0.0167138447915087,"T","Asymptomatic-Symptomatic","day0"
"P02748",-0.827710421202383,0.0121083589993706,"T","Asymptomatic-Symptomatic","day0"
"P02766",0.606617173025508,0.0488192748248404,"T","Asymptomatic-Symptomatic","day0"
"A0A286YFJ8",1.95487770653032,0.0283377427298731,"T","Asymptomatic-Symptomatic","day0"
"O75636",0.75664817536132,0.0425675380117623,"T","Asymptomatic-Symptomatic","day0"
"P00915",0.665180018153563,0.0364874591466827,"T","Asymptomatic-Symptomatic","day0"
"P00748",-0.73012939811261,0.0453009912307164,"T","Asymptomatic-Symptomatic","day0"
"P0C0L5",-0.799535373320424,0.0419759033675144,"T","Asymptomatic-Symptomatic","day0"
"Q14520",-0.759446475806895,0.0378951585509457,"T","Asymptomatic-Symptomatic","day0"
"P02790",-0.363177237385758,0.049673272146493,"T","Asymptomatic-Symptomatic","day3"
"P06727",0.667635434715961,0.0377285317298713,"T","Asymptomatic-Symptomatic","day3"
"P02749",0.775888870775217,0.00323092496947298,"T","Asymptomatic-Symptomatic","day3"
"P05155",-0.469016792364351,0.0325491016124212,"T","Asymptomatic-Symptomatic","day3"
"V9GYM3",0.508065487732717,0.0389205781207041,"T","Asymptomatic-Symptomatic","day3"
"P60709",-1.00850990023511,0.0197937352823258,"T","Asymptomatic-Symptomatic","day3"
"P01782",0.422252000401841,0.0291125072313583,"T","Asymptomatic-Symptomatic","day3"
"O95445",0.548092282219205,0.0136103712277201,"T","Asymptomatic-Symptomatic","day3"
"P01700",0.782045190130015,0.01498631362873,"T","Asymptomatic-Symptomatic","day3"
"A0A075B6I9",0.972250981355893,0.00275423876916542,"T","Asymptomatic-Symptomatic","day3"
"Q5VVP7",-1.84255535843569,0.00462354007143836,"T","Asymptomatic-Symptomatic","day3"
"A0A0C4DH68",0.966199921916919,0.0323581830304249,"T","Asymptomatic-Symptomatic","day3"
"A0A0B4J1X5",0.766652811149626,0.00194327781213066,"T","Asymptomatic-Symptomatic","day3"
"E9PQD6",-2.57424499033429,0.0237530670477543,"T","Asymptomatic-Symptomatic","day3"
"A0A0C4DH34",0.536783332504698,0.0262500503514742,"T","Asymptomatic-Symptomatic","day3"
"A0A0B4J1X8",1.85124103611542,0.0188851515088193,"T","Asymptomatic-Symptomatic","day3"
"A0A0C4DH25",1.33328739918554,0.0463048307163062,"T","Asymptomatic-Symptomatic","day3"
"P06727",0.67819132053601,0.0383449990101223,"T","Asymptomatic-Symptomatic","day7"
"P06396",0.438718655915156,0.0244663182950311,"T","Asymptomatic-Symptomatic","day7"
"V9GYM3",0.646619388524927,0.0443268429539292,"T","Asymptomatic-Symptomatic","day7"
"P01834",0.787417054928973,0.0489986469362894,"T","Asymptomatic-Symptomatic","day7"
"P01019",-0.44597792570373,0.0183741157839876,"T","Asymptomatic-Symptomatic","day7"
"P27169",0.461658984340541,0.0424472997151183,"T","Asymptomatic-Symptomatic","day7"
"A0A286YFJ8",1.77140221034359,0.0438515665602529,"T","Asymptomatic-Symptomatic","day7"
"P00748",-0.621493112939461,0.034216171093274,"T","Asymptomatic-Symptomatic","day7"
"P01624",0.569213951301902,0.0140134764383393,"T","Asymptomatic-Symptomatic","day7"
"A0A0G2JSC0",1.49876681371807,0.027988333750524,"T","Asymptomatic-Symptomatic","day7"
"E7ET86",1.38552645272032,0.0456322846817997,"T","Asymptomatic-Symptomatic","day7"
"Q92858",1.30545802982215,0.00914655620673269,"T","Asymptomatic-Symptomatic","day7"
